team_id,round_id,hosp_rmse,hosp_nrmse,r0_rmse,round_score
Team-03,4,0.044721,0.072131,0.522494,0.162204
Team-02,4,0.252982,0.408036,0.148997,0.356228
Team-05,4,0.290533,0.468601,0.124733,0.399827
Team-07,4,0.334358,0.539287,0.074826,0.446395
Team-09,4,0.405346,0.653783,0.140712,0.551169
Team-01,4,0.563515,0.908895,0.04899,0.736914
Team-06,4,0.701427,1.131334,0.100995,0.925266
Team-08,4,0.762889,1.230467,0.088318,1.002037
