team_id,round_id,hosp_rmse,hosp_nrmse,r0_rmse,round_score
Team-02,2,0.672309,0.175997,0.128062,0.16641
Team-08,2,1.322056,0.346088,0.214781,0.319827
Team-03,2,1.407835,0.368543,0.137113,0.322257
Team-05,2,1.446008,0.378536,0.126573,0.328143
Team-07,2,1.411905,0.369609,0.226232,0.340933
Team-06,2,1.472732,0.385532,0.228167,0.354059
Team-01,2,1.909363,0.499833,0.208239,0.441514
Team-09,2,2.261858,0.592109,0.330273,0.539742
