team_id,challenge_id,round_id,hosp_rmse,hosp_nrmse,r0_mape,round_score
Team-02,challenge-02,02,0.013616,0.005123,0.006314,0.005719
Team-01,challenge-02,02,0.066332,0.024958,0.001883,0.013420
