team_id,round_id,hosp_rmse,hosp_nrmse,r0_rmse,round_score
Team-05,4,1.231853,0.593664,0.229435,0.520818
Team-07,4,1.352806,0.651955,0.153685,0.552301
Team-03,4,1.625577,0.783411,0.057663,0.638261
Team-02,4,1.458595,0.702937,0.642515,0.690853
Team-09,4,1.355387,0.653199,0.92089,0.706737
Team-01,4,1.692829,0.815821,0.272536,0.707164
Team-06,4,1.830983,0.882402,0.407216,0.787365
